date,TSLA,AMZN,NVS,MSFT,NVS
2022-06-09,239.7064333333333,116.15,86.38,264.79,86.38
2022-06-10,232.22976666666668,109.65,85.06,252.99,85.06
2022-06-13,215.73643333333334,103.67,82.53,242.26,82.53
2022-06-14,220.88976666666667,102.31,80.52,244.49,80.52
2022-06-15,232.99976666666666,107.67,81.36,251.76,81.36
2022-06-16,213.0998,103.66,81.85,244.97,81.85
2022-06-17,216.75976666666668,106.22,81.06,247.65,81.06
2022-06-21,237.03643333333332,108.68,81.49,253.74,81.49
2022-06-22,236.08643333333336,108.95,81.51,253.13,81.51
2022-06-23,235.06976666666665,112.44,81.86,258.86,81.86
2022-06-24,245.7064333333333,116.46,84.83,267.7,84.83
2022-06-27,244.91976666666667,113.22,85.28,264.89,85.28
2022-06-28,232.6631,107.4,84.17,256.48,84.17
2022-06-29,228.48976666666667,108.92,84.77,260.26,84.77
2022-06-30,224.47310000000002,106.21,84.53,256.83,84.53
2022-07-01,227.2631,109.56,84.36,259.58,84.36
2022-07-05,233.06643333333332,113.5,84.28,262.85,84.28
2022-07-06,231.7331,114.33,83.73,266.21,83.73
2022-07-07,244.54309999999998,116.33,84.4,268.4,84.4
2022-07-08,250.76306666666667,115.54,84.34,267.66,84.34
2022-07-11,234.34310000000002,111.75,84.49,264.51,84.49
2022-07-12,233.06976666666665,109.22,83.94,253.67,83.94
2022-07-13,237.03976666666665,110.4,83.01,252.72,83.01
2022-07-14,238.3131,110.63,82.6,254.08,82.6
2022-07-15,240.06643333333332,113.55,84.64,256.72,84.64
2022-07-18,240.54643333333334,113.76,82.7,254.25,82.7
2022-07-19,245.52973333333333,118.21,86.0,259.53,86.0
2022-07-20,247.49976666666666,122.77,84.22,262.27,84.22
2022-07-21,271.7064,124.63,85.89,264.84,85.89
2022-07-22,272.24306666666666,122.42,85.87,260.36,85.87
2022-07-25,268.43306666666666,121.14,86.08,258.83,86.08
2022-07-26,258.85973333333334,114.81,86.84,251.9,86.84
2022-07-27,274.8197333333333,120.97,86.75,268.74,86.75
2022-07-28,280.89973333333336,122.28,87.26,276.41,87.26
2022-07-29,297.1497,134.95,85.83,280.74,85.83
2022-08-01,297.27636666666666,135.39,85.63,278.01,85.63
2022-08-02,300.58636666666666,134.16,85.06,274.82,85.06
2022-08-03,307.39636666666667,139.52,84.86,282.47,84.86
2022-08-04,308.63303333333334,142.57,85.23,283.65,85.23
2022-08-05,288.1697,140.8,85.57,282.91,85.57
2022-08-08,290.4230333333333,139.41,85.94,280.32,85.94
2022-08-09,283.33306666666664,137.83,87.15,282.3,87.15
2022-08-10,294.3563666666667,142.69,87.43,289.16,87.43
2022-08-11,286.6297,140.64,85.58,287.02,85.58
2022-08-12,300.0297,143.55,85.68,291.91,85.68
2022-08-15,309.3197,143.18,85.38,293.47,85.38
2022-08-16,306.56303333333335,144.78,85.82,292.71,85.82
2022-08-17,303.9963666666667,142.1,85.22,291.32,85.22
2022-08-18,302.8697,142.3,84.92,290.17,84.92
2022-08-19,296.66636666666665,138.23,85.76,286.15,85.76
2022-08-22,289.9130333333333,133.22,84.39,277.75,84.39
2022-08-23,296.45303333333334,133.62,83.48,276.44,83.48
2022-08-24,297.09636666666665,133.8,83.61,275.79,83.61
2022-08-25,296.07,137.28,83.41,278.85,83.41
2022-08-26,288.09,130.75,82.68,268.09,82.68
2022-08-29,284.82,129.79,82.25,265.23,82.25
2022-08-30,277.7,128.73,80.76,262.97,80.76
2022-08-31,275.61,126.77,80.52,261.47,80.52
2022-09-01,277.16,127.82,80.33,260.4,80.33
2022-09-02,270.21,127.51,79.7,256.06,79.7
2022-09-06,274.42,126.11,79.77,253.25,79.77
2022-09-07,283.7,129.48,80.94,258.09,80.94
2022-09-08,289.26,129.82,81.26,258.52,81.26
2022-09-09,299.68,133.27,82.6,264.46,82.6
2022-09-12,304.42,136.45,83.6,266.65,83.6
2022-09-13,292.13,126.82,81.95,251.99,81.95
2022-09-14,302.61,128.55,80.91,252.22,80.91
2022-09-15,303.75,126.28,80.74,245.38,80.74
2022-09-16,303.35,123.53,80.65,244.74,80.65
2022-09-19,309.07,124.66,80.73,244.52,80.73
2022-09-20,308.73,122.19,79.58,242.45,79.58
2022-09-21,300.8,118.54,77.54,238.95,77.54
2022-09-22,288.59,117.31,77.14,240.98,77.14
2022-09-23,275.33,113.78,76.01,237.92,76.01
2022-09-26,276.01,115.15,74.61,237.45,74.61
2022-09-27,282.94,114.41,74.65,236.41,74.65
2022-09-28,287.81,118.01,76.32,241.07,76.32
2022-09-29,268.21,114.8,76.57,237.5,76.57
2022-09-30,265.25,113.0,76.01,232.9,76.01
2022-10-03,242.4,115.88,76.67,240.74,76.67
2022-10-04,249.44,121.09,78.23,248.88,78.23
2022-10-05,240.81,120.95,77.37,249.2,77.37
2022-10-06,238.13,120.3,76.04,246.79,76.04
2022-10-07,223.07,114.56,75.65,234.24,75.65
2022-10-10,222.96,113.67,75.55,229.25,75.55
2022-10-11,216.5,112.21,75.86,225.41,75.86
2022-10-12,217.24,112.9,75.31,225.75,75.31
2022-10-13,221.72,112.53,76.01,234.24,76.01
2022-10-14,204.99,106.9,75.57,228.56,75.57
2022-10-17,219.35,113.79,77.27,237.53,77.27
2022-10-18,220.19,116.36,77.49,238.5,77.49
2022-10-19,222.04,115.07,76.51,236.48,76.51
2022-10-20,207.28,115.25,75.55,236.15,75.55
2022-10-21,214.44,119.32,77.1,242.12,77.1
2022-10-24,211.25,119.82,77.71,247.25,77.71
2022-10-25,222.415,120.6,78.51,250.66,78.51
2022-10-26,224.64,115.66,79.61,231.32,79.61
2022-10-27,225.09,110.96,79.54,226.75,79.54
2022-10-28,228.52,103.41,80.76,235.87,80.76
2022-10-31,227.54,102.44,81.13,232.13,81.13
2022-11-01,227.82,96.79,81.06,228.17,81.06
2022-11-02,214.98,92.12,80.59,220.1,80.59
2022-11-03,215.31,89.3,80.38,214.25,80.38
2022-11-04,207.47,90.98,81.72,221.39,81.72
2022-11-07,197.08,90.53,81.81,227.87,81.81
2022-11-08,191.3,89.98,81.83,228.87,81.83
2022-11-09,177.59,86.14,82.97,224.51,82.97
2022-11-10,190.72,96.63,85.13,242.98,85.13
2022-11-11,195.97,100.79,84.02,247.11,84.02
2022-11-14,190.95,98.49,83.45,241.55,83.45
2022-11-15,194.42,98.94,83.83,241.97,83.83
2022-11-16,186.92,97.12,83.55,241.73,83.55
2022-11-17,183.17,94.85,83.46,241.68,83.46
2022-11-18,180.19,94.14,85.7,241.22,85.7
2022-11-21,167.87,92.46,86.79,242.05,86.79
2022-11-22,169.91,93.2,87.7,245.03,87.7
2022-11-23,183.2,94.13,87.29,247.58,87.29
2022-11-25,182.86,93.41,87.71,247.49,87.71
2022-11-28,182.92,93.95,87.68,241.76,87.68
2022-11-29,180.83,92.42,87.36,240.33,87.36
2022-11-30,194.7,96.54,89.56,255.14,89.56
2022-12-01,194.7,95.5,89.82,254.69,89.82
2022-12-02,194.86,94.13,89.99,255.02,89.99
2022-12-05,182.45,91.01,90.96,250.2,90.96
2022-12-06,179.82,88.25,90.74,245.12,90.74
2022-12-07,174.04,88.46,91.73,244.37,91.73
2022-12-08,173.44,90.35,91.58,247.4,91.58
2022-12-09,179.05,89.09,90.95,245.42,90.95
2022-12-12,167.82,90.55,90.88,252.51,90.88
2022-12-13,160.95,92.49,91.21,256.92,91.21
2022-12-14,156.8,91.58,92.53,257.22,92.53
2022-12-15,157.67,88.45,90.89,249.01,90.89
2022-12-16,150.23,87.86,90.48,244.69,90.48
2022-12-19,149.87,84.92,90.19,240.45,90.19
