date, AAPL, MSFT, AMZN, GOOG, META
02/01/2018 16:00:00,43.07,85.95,59.45,53.25,181.42
03/01/2018 16:00:00,43.06,86.35,60.21,54.12,184.67
04/01/2018 16:00:00,43.26,87.11,60.48,54.32,184.33
05/01/2018 16:00:00,43.75,88.19,61.46,55.11,186.85
08/01/2018 16:00:00,43.59,88.28,62.34,55.35,188.28
09/01/2018 16:00:00,43.58,88.22,62.64,55.31,187.87
10/01/2018 16:00:00,43.57,87.82,62.72,55.13,187.84
11/01/2018 16:00:00,43.82,88.08,63.83,55.28,187.77
12/01/2018 16:00:00,44.27,89.6,65.26,56.11,179.37
16/01/2018 16:00:00,44.05,88.35,65.24,56.09,178.39
17/01/2018 16:00:00,44.78,90.14,64.75,56.6,177.6
18/01/2018 16:00:00,44.82,90.1,64.67,56.49,179.8
19/01/2018 16:00:00,44.62,90,64.73,56.88,181.29
22/01/2018 16:00:00,44.25,91.61,66.37,57.79,185.37
23/01/2018 16:00:00,44.26,91.9,68.13,58.5,189.35
24/01/2018 16:00:00,43.56,91.82,67.88,58.21,186.55
25/01/2018 16:00:00,42.78,92.33,68.9,58.52,187.48
26/01/2018 16:00:00,42.88,94.06,70.1,58.79,190
29/01/2018 16:00:00,41.99,93.92,70.88,58.78,185.98
30/01/2018 16:00:00,41.74,92.74,71.89,58.18,187.12
31/01/2018 16:00:00,41.86,95.01,72.54,58.5,186.89
01/02/2018 16:00:00,41.95,94.26,69.5,58.39,193.09
02/02/2018 16:00:00,40.13,91.78,71.5,55.6,190.28
05/02/2018 16:00:00,39.12,88,69.5,52.79,181.26
06/02/2018 16:00:00,40.76,91.33,72.14,54.03,185.31
07/02/2018 16:00:00,39.89,89.61,70.84,52.43,180.18
08/02/2018 16:00:00,38.79,85.01,67.53,50.08,171.58
09/02/2018 16:00:00,39.1,88.18,66.98,51.89,176.11
12/02/2018 16:00:00,40.68,89.13,69.31,52.6,176.41
13/02/2018 16:00:00,41.09,89.83,70.73,52.61,173.15
14/02/2018 16:00:00,41.84,90.81,72.55,53.49,179.52
15/02/2018 16:00:00,43.25,92.66,73.09,54.48,179.96
16/02/2018 16:00:00,43.11,92,72.43,54.74,177.36
20/02/2018 16:00:00,42.96,92.72,73.42,55.12,176.01
21/02/2018 16:00:00,42.77,91.49,74.15,55.57,177.91
22/02/2018 16:00:00,43.13,91.73,74.27,55.33,178.99
23/02/2018 16:00:00,43.88,94.06,75,56.34,183.29
26/02/2018 16:00:00,44.74,95.42,76.1,57.19,184.93
27/02/2018 16:00:00,44.6,94.2,75.6,55.91,181.46
28/02/2018 16:00:00,44.53,93.77,75.62,55.24,178.32
01/03/2018 16:00:00,43.75,92.85,74.67,53.48,175.94
02/03/2018 16:00:00,44.05,93.05,75.01,53.95,176.62
05/03/2018 16:00:00,44.21,93.64,76.18,54.55,180.4
06/03/2018 16:00:00,44.17,93.32,76.88,54.75,179.78
07/03/2018 16:00:00,43.76,93.86,77.25,55.48,183.71
08/03/2018 16:00:00,44.24,94.43,77.59,56.3,182.34
09/03/2018 16:00:00,45,96.54,78.94,58,185.23
12/03/2018 16:00:00,45.43,96.77,79.92,58.23,184.76
13/03/2018 16:00:00,44.99,94.41,79.41,56.91,181.88
14/03/2018 16:00:00,44.61,93.85,79.55,57.47,184.19
15/03/2018 16:00:00,44.66,94.18,79.12,57.48,183.86
16/03/2018 16:00:00,44.51,94.6,78.58,56.79,185.09
19/03/2018 16:00:00,43.83,92.89,77.25,54.99,172.56
20/03/2018 16:00:00,43.81,93.13,79.33,54.89,168.15
21/03/2018 16:00:00,42.82,92.48,79.09,54.54,169.39
22/03/2018 16:00:00,42.21,89.79,77.25,52.45,164.89
23/03/2018 16:00:00,41.24,87.18,74.78,51.08,159.39
26/03/2018 16:00:00,43.19,93.78,77.79,52.66,160.06
27/03/2018 16:00:00,42.09,89.47,74.85,50.26,152.22
28/03/2018 16:00:00,41.62,89.39,71.57,50.23,153.03
29/03/2018 16:00:00,41.95,91.27,72.37,51.59,159.79
02/04/2018 16:00:00,41.67,88.52,68.6,50.32,155.39
03/04/2018 16:00:00,42.1,89.71,69.6,50.67,156.11
04/04/2018 16:00:00,42.9,92.33,70.53,51.26,155.1
05/04/2018 16:00:00,43.2,92.38,72.59,51.39,159.34
06/04/2018 16:00:00,42.1,90.23,70.26,50.35,157.2
09/04/2018 16:00:00,42.51,90.77,70.3,50.77,157.93
10/04/2018 16:00:00,43.31,92.88,71.81,51.58,165.04
11/04/2018 16:00:00,43.11,91.86,71.35,51,166.32
12/04/2018 16:00:00,43.54,93.58,72.43,51.63,163.87
13/04/2018 16:00:00,43.68,93.08,71.54,51.46,164.52
16/04/2018 16:00:00,43.96,94.17,72.08,51.9,164.83
17/04/2018 16:00:00,44.56,96.07,75.19,53.71,168.66
18/04/2018 16:00:00,44.46,96.44,76.39,53.6,166.36
19/04/2018 16:00:00,43.2,96.11,77.85,54.39,168.1
20/04/2018 16:00:00,41.43,95,76.37,53.65,166.28
23/04/2018 16:00:00,41.31,95.35,75.89,53.37,165.84
24/04/2018 16:00:00,40.74,93.12,73,51,159.69
25/04/2018 16:00:00,40.91,92.31,73.01,51.06,159.69
26/04/2018 16:00:00,41.06,94.26,75.9,52,174.16
27/04/2018 16:00:00,40.58,95.82,78.63,51.5,173.59
30/04/2018 16:00:00,41.32,93.52,78.31,50.87,172
01/05/2018 16:00:00,42.28,95,79.11,51.87,173.86
02/05/2018 16:00:00,44.14,93.51,78.48,51.22,176.07
03/05/2018 16:00:00,44.22,94.07,78.6,51.19,174.02
04/05/2018 16:00:00,45.96,95.16,79.05,52.41,176.61
07/05/2018 16:00:00,46.29,96.22,80.01,52.74,177.97
08/05/2018 16:00:00,46.51,95.81,79.62,52.7,178.92
09/05/2018 16:00:00,46.84,96.94,80.4,54.14,182.66
10/05/2018 16:00:00,47.51,97.91,80.45,54.88,185.53
11/05/2018 16:00:00,47.15,97.7,80.15,54.91,186.99
14/05/2018 16:00:00,47.04,98.03,80.08,55.01,186.64
15/05/2018 16:00:00,46.61,97.32,78.81,53.96,184.32
16/05/2018 16:00:00,47.05,97.15,79.36,54.09,183.2
17/05/2018 16:00:00,46.75,96.18,79.09,53.93,183.76
18/05/2018 16:00:00,46.58,96.36,78.72,53.32,182.68
21/05/2018 16:00:00,46.91,97.6,79.27,53.98,184.49
22/05/2018 16:00:00,46.79,97.5,79.07,53.49,183.8
23/05/2018 16:00:00,47.09,98.66,80.09,53.98,186.9
24/05/2018 16:00:00,47.04,98.31,80.15,53.96,185.93
25/05/2018 16:00:00,47.15,98.36,80.51,53.78,184.92
29/05/2018 16:00:00,46.98,98.01,80.64,53.02,185.74
30/05/2018 16:00:00,46.88,98.95,81.24,53.39,187.67
31/05/2018 16:00:00,46.72,98.84,81.48,54.25,191.78
01/06/2018 16:00:00,47.56,100.79,82.08,55.98,193.99
04/06/2018 16:00:00,47.96,101.67,83.26,56.96,193.28
05/06/2018 16:00:00,48.33,102.19,84.82,56.98,192.94
06/06/2018 16:00:00,48.5,102.49,84.79,56.84,191.34
07/06/2018 16:00:00,48.37,100.88,84.47,56.19,188.18
08/06/2018 16:00:00,47.93,101.63,84.2,56.04,189.1
11/06/2018 16:00:00,47.81,101.05,84.46,56.5,191.54
12/06/2018 16:00:00,48.07,101.31,84.94,56.97,192.4
13/06/2018 16:00:00,47.68,100.85,85.24,56.74,192.41
14/06/2018 16:00:00,47.7,101.42,86.19,57.61,196.81
15/06/2018 16:00:00,47.21,100.13,85.8,57.61,195.85
18/06/2018 16:00:00,47.19,100.86,86.19,58.67,198.31
19/06/2018 16:00:00,46.42,100.86,86.74,58.4,197.49
20/06/2018 16:00:00,46.63,101.87,87.5,58.49,202
