date,BND,VOO,BLV,VEA,VYM
1/2/2018 16:00:00,81.34,247.09,94.18,45.25,85.92
1/3/2018 16:00:00,81.41,248.56,94.53,45.53,86.2
1/4/2018 16:00:00,81.37,249.65,94.62,45.94,86.58
1/5/2018 16:00:00,81.26,251.25,94.4,46.16,86.97
1/8/2018 16:00:00,81.27,251.77,94.38,46.14,87.13
1/9/2018 16:00:00,81.03,252.3,93.47,46.18,87.28
1/10/2018 16:00:00,81.04,251.87,93.57,46.06,87.13
1/11/2018 16:00:00,81.04,253.73,94,46.36,87.71
1/12/2018 16:00:00,81.03,255.41,94.17,46.8,88.2
1/16/2018 16:00:00,81.09,254.48,94.34,46.75,87.95
1/17/2018 16:00:00,81,256.94,94.16,47,88.88
1/18/2018 16:00:00,80.84,256.59,93.53,46.89,88.59
1/19/2018 16:00:00,80.67,257.68,93,47.1,88.88
1/22/2018 16:00:00,80.61,259.75,93.05,47.35,89.63
1/23/2018 16:00:00,80.82,260.34,93.51,47.5,89.53
1/24/2018 16:00:00,80.73,260.21,93.1,47.65,89.49
1/25/2018 16:00:00,80.95,260.33,93.92,47.48,89.62
1/26/2018 16:00:00,80.8,263.36,93.63,47.88,90.91
1/29/2018 16:00:00,80.69,261.54,93.23,47.44,90.32
1/30/2018 16:00:00,80.54,258.75,92.72,47.08,89.18
1/31/2018 16:00:00,80.56,258.99,93.02,46.99,89.15
2/1/2018 16:00:00,80.16,258.73,91.81,47.11,89.07
2/2/2018 16:00:00,79.92,253.19,91.15,46.09,87.18
2/5/2018 16:00:00,80.27,242.79,91.57,44.21,83.49
2/6/2018 16:00:00,80.01,247.28,90.96,45.07,84.68
2/7/2018 16:00:00,79.83,245.93,90.41,44.46,84.51
2/8/2018 16:00:00,79.77,236.79,90.09,43.36,81.65
2/9/2018 16:00:00,79.57,240.44,89.37,43.66,82.92
2/12/2018 16:00:00,79.59,243.74,89.66,44.24,83.89
2/13/2018 16:00:00,79.66,244.56,89.72,44.07,84.17
2/14/2018 16:00:00,79.4,247.76,89.19,44.94,84.96
2/15/2018 16:00:00,79.48,250.97,89.64,45.23,85.97
2/16/2018 16:00:00,79.65,250.94,89.98,45.39,86.08
2/20/2018 16:00:00,79.57,249.42,89.56,44.93,85.25
2/21/2018 16:00:00,79.27,248.11,88.85,44.76,84.62
2/22/2018 16:00:00,79.37,248.41,88.88,44.95,84.73
2/23/2018 16:00:00,79.58,252.49,89.54,45.4,86.12
2/26/2018 16:00:00,79.62,255.4,89.66,45.76,87.14
2/27/2018 16:00:00,79.45,252.14,89.54,45.06,86.08
2/28/2018 16:00:00,79.55,249.34,89.83,44.59,84.94
3/1/2018 16:00:00,79.52,246.05,89.75,44.01,84.01
3/2/2018 16:00:00,79.37,247.36,89.1,44.14,84.33
3/5/2018 16:00:00,79.32,250.2,89.2,44.32,85.3
3/6/2018 16:00:00,79.35,250.83,89.38,44.69,85.35
3/7/2018 16:00:00,79.33,250.72,89.17,44.64,85.18
3/8/2018 16:00:00,79.42,251.89,89.46,44.77,85.6
3/9/2018 16:00:00,79.32,256.25,88.99,45.1,86.89
3/12/2018 16:00:00,79.4,256,89.26,45.17,86.64
3/13/2018 16:00:00,79.42,254.31,89.53,44.89,86.2
3/14/2018 16:00:00,79.59,252.97,90.02,44.96,85.6
3/15/2018 16:00:00,79.6,252.73,90.19,44.95,85.51
3/16/2018 16:00:00,79.53,252.99,89.96,44.89,85.75
3/19/2018 16:00:00,79.47,249.61,89.7,44.52,84.69
3/20/2018 16:00:00,79.37,250.05,89.44,44.56,84.74
3/21/2018 16:00:00,79.37,249.47,89.24,44.67,84.7
3/22/2018 16:00:00,79.5,243.27,89.64,43.85,82.56
3/23/2018 16:00:00,79.52,238.09,89.34,43.31,80.94
3/26/2018 16:00:00,79.47,243.53,89.38,43.92,82.37
3/27/2018 16:00:00,79.74,239.31,90.3,43.56,81.44
3/28/2018 16:00:00,79.73,238.64,90.41,43.77,81.53
3/29/2018 16:00:00,79.93,242.08,90.91,44.25,82.49
4/2/2018 16:00:00,79.72,236.48,90.69,43.59,80.64
4/3/2018 16:00:00,79.63,239.48,90.24,43.93,81.77
4/4/2018 16:00:00,79.63,242.24,90.2,44.03,82.72
4/5/2018 16:00:00,79.52,243.99,89.82,44.36,83.25
4/6/2018 16:00:00,79.72,238.62,90.42,44,81.58
4/9/2018 16:00:00,79.8,239.59,90.55,44.38,81.89
4/10/2018 16:00:00,79.66,243.54,90.53,44.87,83.24
4/11/2018 16:00:00,79.72,242.25,90.72,44.66,82.8
4/12/2018 16:00:00,79.57,244.28,90.26,44.83,83.35
4/13/2018 16:00:00,79.63,243.6,90.4,44.87,83.18
4/16/2018 16:00:00,79.64,245.58,90.37,44.95,83.87
4/17/2018 16:00:00,79.67,248.22,90.59,45.18,84.4
4/18/2018 16:00:00,79.41,248.36,89.91,45.45,84.29
4/19/2018 16:00:00,79.22,247,89.23,45.24,83.65
4/20/2018 16:00:00,79.02,245,88.6,45.02,83.13
4/23/2018 16:00:00,78.98,244.89,88.56,44.97,83.31
4/24/2018 16:00:00,78.84,241.55,88.16,44.77,82.5
4/25/2018 16:00:00,78.73,242.17,87.7,44.67,82.67
4/26/2018 16:00:00,78.89,244.66,88.09,45,83.32
4/27/2018 16:00:00,79.01,244.92,88.61,45.05,83.41
4/30/2018 16:00:00,79.05,242.92,88.62,44.81,82.6
5/1/2018 16:00:00,78.75,243.44,87.98,44.77,82.44
5/2/2018 16:00:00,78.76,241.78,87.87,44.71,81.65
5/3/2018 16:00:00,78.83,241.21,88.01,44.8,81.63
5/4/2018 16:00:00,78.88,244.41,88.06,44.97,82.51
5/7/2018 16:00:00,78.84,245.17,87.93,44.96,82.67
5/8/2018 16:00:00,78.78,245.16,87.78,44.96,82.5
5/9/2018 16:00:00,78.69,247.54,87.56,45.1,83.28
5/10/2018 16:00:00,78.85,249.86,88.22,45.42,84.04
5/11/2018 16:00:00,78.93,250.47,88.41,45.51,84.28
5/14/2018 16:00:00,78.83,250.75,88.16,45.59,84.42
5/15/2018 16:00:00,78.46,249.03,87.21,45.21,84.02
5/16/2018 16:00:00,78.4,250.09,86.93,45.35,84.39
5/17/2018 16:00:00,78.33,249.88,86.61,45.41,84.31
5/18/2018 16:00:00,78.54,249.26,87.02,45.25,84.1
5/21/2018 16:00:00,78.54,251.09,87.09,45.54,84.78
5/22/2018 16:00:00,78.56,250.37,87.03,45.51,84.56
5/23/2018 16:00:00,78.8,251.15,87.51,45.08,84.74
5/24/2018 16:00:00,78.96,250.67,88.06,44.93,84.52
