date,DIS,NKE,SBUX,MCD,KO
02/01/2018 16:00:00,111.8,63.49,57.63,173.22,45.54
03/01/2018 16:00:00,112.28,63.48,58.71,172.49,45.44
04/01/2018 16:00:00,112.23,63.44,58.93,173.7,46.08
05/01/2018 16:00:00,111.62,63.98,59.61,174.05,46.07
08/01/2018 16:00:00,110.02,64.55,59.31,173.93,46
09/01/2018 16:00:00,109.94,64.09,59.18,173.54,46.23
10/01/2018 16:00:00,109.47,64.22,59.82,173.51,46.07
11/01/2018 16:00:00,110.99,64.29,60,173.39,46.04
12/01/2018 16:00:00,112.47,64.67,60.4,173.57,46.15
16/01/2018 16:00:00,110.69,63.42,60.56,173.68,46.53
17/01/2018 16:00:00,111.97,63.81,60.66,174.98,46.82
18/01/2018 16:00:00,110.42,64.11,61.09,174.57,46.88
19/01/2018 16:00:00,110.59,67.21,61.26,176.12,47.16
22/01/2018 16:00:00,111.1,66.39,61.41,176.21,47.38
23/01/2018 16:00:00,110.41,67.14,61.69,176.81,47.45
24/01/2018 16:00:00,110.5,68,60.83,176.12,47.83
25/01/2018 16:00:00,110.55,67.71,60.55,175.66,47.84
26/01/2018 16:00:00,112.19,68.04,57.99,178.36,48.53
29/01/2018 16:00:00,111.54,67.58,57.02,177.77,47.7
30/01/2018 16:00:00,110.11,67.33,57.19,172.48,47.41
31/01/2018 16:00:00,108.67,68.22,56.81,171.14,47.59
01/02/2018 16:00:00,110.49,67.65,56,171.9,47.45
02/02/2018 16:00:00,108.7,67.22,55.77,169.38,46.73
05/02/2018 16:00:00,104.7,64.39,54.69,163.85,44.89
06/02/2018 16:00:00,106.17,65.22,55.61,165.18,44.67
07/02/2018 16:00:00,104.76,65.63,54.46,165.71,44.56
08/02/2018 16:00:00,101.35,62.49,53.77,158.97,43.1
09/02/2018 16:00:00,103.09,65.49,54.58,160.8,43.13
12/02/2018 16:00:00,103.39,65.98,55.38,163.9,43.97
13/02/2018 16:00:00,104.12,65.87,55.67,162.4,44.19
14/02/2018 16:00:00,104.6,67.96,55.99,159.99,44.1
15/02/2018 16:00:00,105.18,68.29,56.58,160.78,44.78
16/02/2018 16:00:00,106.53,68.3,56.48,157.79,44.98
20/02/2018 16:00:00,105.98,67.49,55.97,157.16,43.99
21/02/2018 16:00:00,105.05,67.05,56.1,158.64,43.34
22/02/2018 16:00:00,105.24,67.13,55.4,160.66,43.52
23/02/2018 16:00:00,107.25,68.16,56.14,163.06,44.04
26/02/2018 16:00:00,109.81,69.65,57.17,163.58,44.03
27/02/2018 16:00:00,104.87,68.03,56.57,160.66,43.62
28/02/2018 16:00:00,103.16,67.03,57.1,157.74,43.22
01/03/2018 16:00:00,102.57,66.32,56.17,155.7,43.43
02/03/2018 16:00:00,102.99,65.89,56.93,148.27,43.72
05/03/2018 16:00:00,103.41,65.05,56.99,151.03,43.89
06/03/2018 16:00:00,104.94,65.24,57.03,151.2,43.93
07/03/2018 16:00:00,103.59,64.17,57.03,152.38,43.82
08/03/2018 16:00:00,104.03,65.11,57.47,154.44,44.45
09/03/2018 16:00:00,104.73,66.3,58.46,157.24,44.82
12/03/2018 16:00:00,105.17,66.82,59.4,157.74,44.53
13/03/2018 16:00:00,103.73,66.17,59.05,158.22,44.57
14/03/2018 16:00:00,103.9,66.2,58.83,158.24,43.78
15/03/2018 16:00:00,103.24,66.39,59.37,161.61,43.67
16/03/2018 16:00:00,102.87,65.91,59,162.36,43.46
19/03/2018 16:00:00,101.48,65.71,58.3,159.01,43.26
20/03/2018 16:00:00,101.35,66.8,58.66,159.38,43.16
21/03/2018 16:00:00,101.82,66.35,58.47,158.66,43
22/03/2018 16:00:00,100.6,64.42,57.77,157.04,42.76
23/03/2018 16:00:00,98.54,64.63,56.31,154.98,42.33
26/03/2018 16:00:00,100.65,65.9,57.8,158.01,42.69
27/03/2018 16:00:00,99.36,66.17,57.46,157.48,42.89
28/03/2018 16:00:00,98.54,65.44,57.9,158.41,43.32
29/03/2018 16:00:00,100.44,66.44,57.89,156.38,43.43
02/04/2018 16:00:00,98.66,64.12,56.24,157.72,42.67
03/04/2018 16:00:00,99.42,66.7,58,160.4,43.38
04/04/2018 16:00:00,100.95,68.42,58.83,161.73,44.24
05/04/2018 16:00:00,102.11,69.59,59.14,163.95,44.4
