date,JNJ,PFE,MRNA,ABBV,NVS
02/01/2018 16:00:00,139.23,34.52,,98.41,74.34
03/01/2018 16:00:00,140.56,34.78,,99.95,74.92
04/01/2018 16:00:00,140.55,34.85,,99.38,74.99
05/01/2018 16:00:00,141.71,34.92,,101.11,75.74
08/01/2018 16:00:00,141.89,34.53,,99.49,75.69
09/01/2018 16:00:00,144.14,34.49,,100.24,75.83
10/01/2018 16:00:00,143.97,34.55,,99.69,75.38
11/01/2018 16:00:00,144.79,34.63,,99.27,75.21
12/01/2018 16:00:00,145.76,34.62,,100.34,76.07
16/01/2018 16:00:00,146.86,34.67,,102.49,76.14
17/01/2018 16:00:00,146.98,35.22,,104.36,76.27
18/01/2018 16:00:00,146.92,35.04,,103.81,75.86
19/01/2018 16:00:00,147.36,34.99,,104.64,76.33
22/01/2018 16:00:00,148.14,34.99,,106.49,76.38
23/01/2018 16:00:00,141.83,34.88,,105.38,76.56
24/01/2018 16:00:00,142.07,34.99,,105.51,80.28
25/01/2018 16:00:00,144.4,35.27,,108.3,82.22
26/01/2018 16:00:00,145.33,36.96,,123.21,82.44
29/01/2018 16:00:00,143.68,36.96,,122.31,81.63
30/01/2018 16:00:00,142.43,35.81,,115.88,80.49
31/01/2018 16:00:00,138.19,35.09,,112.22,79.06
01/02/2018 16:00:00,140.02,34.89,,116.34,79.49
02/02/2018 16:00:00,137.68,34.68,,115.17,77.6
05/02/2018 16:00:00,130.39,32.84,,109.51,74.47
06/02/2018 16:00:00,131.83,33.42,,111.2,75.7
07/02/2018 16:00:00,131.42,33.14,,113.62,74.46
08/02/2018 16:00:00,126.36,31.86,,108.48,72.46
09/02/2018 16:00:00,129.53,32.36,,111.3,73.09
12/02/2018 16:00:00,130.27,32.83,,111.93,73.75
13/02/2018 16:00:00,129.96,33.1,,111.86,73.39
14/02/2018 16:00:00,129.67,33.34,,113.08,75.08
15/02/2018 16:00:00,131.23,33.83,,114.9,76.1
16/02/2018 16:00:00,133.15,34.35,,118.6,76.3
20/02/2018 16:00:00,130.87,34.11,,117.98,74.95
21/02/2018 16:00:00,129.91,33.88,,117.91,74.53
22/02/2018 16:00:00,129.91,33.86,,117.56,74.8
23/02/2018 16:00:00,132.02,34.35,,118.75,74.91
26/02/2018 16:00:00,132.07,35.14,,121.54,75.53
27/02/2018 16:00:00,131.67,34.86,,118.26,74.23
28/02/2018 16:00:00,129.88,34.4,,115.83,73.17
01/03/2018 16:00:00,127.28,33.75,,113.84,72.34
02/03/2018 16:00:00,128.82,34.06,,115.04,72.91
05/03/2018 16:00:00,129.79,34.22,,115.66,74
06/03/2018 16:00:00,128.22,33.99,,114.56,71.58
07/03/2018 16:00:00,129.04,34.04,,114.72,71.84
08/03/2018 16:00:00,132.06,34.58,,117.01,72.3
09/03/2018 16:00:00,133.8,34.83,,119.29,72.66
12/03/2018 16:00:00,132.63,34.68,,118.3,72.79
13/03/2018 16:00:00,134.35,34.81,,119.75,72.22
14/03/2018 16:00:00,132.32,34.44,,118.94,72.2
15/03/2018 16:00:00,133.06,34.65,,114.93,71.82
16/03/2018 16:00:00,133.68,34.84,,113.71,72.04
19/03/2018 16:00:00,130.24,34.42,,112.03,71.31
20/03/2018 16:00:00,131.21,34.42,,112.65,71.41
21/03/2018 16:00:00,131.19,34.36,,112.45,71.18
22/03/2018 16:00:00,127.38,33.73,,98.1,70.13
23/03/2018 16:00:00,125.1,32.67,,97.46,68.97
26/03/2018 16:00:00,127.39,33.19,,95.28,69.95
27/03/2018 16:00:00,127.21,33.17,,92.01,69.75
28/03/2018 16:00:00,127.45,33.44,,94.27,71.33
29/03/2018 16:00:00,128.15,33.62,,94.65,70.98
02/04/2018 16:00:00,124.56,33.2,,91.46,69.87
03/04/2018 16:00:00,128.35,33.8,,90.59,70.34
04/04/2018 16:00:00,130.41,34.23,,92.94,71.01
05/04/2018 16:00:00,130.71,33.85,,92.21,71.16
06/04/2018 16:00:00,128.1,33.32,,89.78,70.41
09/04/2018 16:00:00,129.48,33.59,,90.48,71.17
10/04/2018 16:00:00,130.25,34.06,,93.62,71.87
11/04/2018 16:00:00,129.63,33.91,,93.64,71.03
12/04/2018 16:00:00,130.43,34.41,,92.12,71.5
13/04/2018 16:00:00,130.62,34.41,,91.83,71.15
16/04/2018 16:00:00,131.76,34.61,,92.6,71.26
17/04/2018 16:00:00,130.54,34.42,,93.59,71.8
18/04/2018 16:00:00,127.72,34.57,,94.32,71.73
19/04/2018 16:00:00,127.55,34.61,,93.01,69.35
20/04/2018 16:00:00,126.66,34.7,,92.6,68.37
23/04/2018 16:00:00,126.83,34.86,,93.17,68.13
24/04/2018 16:00:00,126.19,35.11,,91.36,67.59
25/04/2018 16:00:00,126.76,34.75,,91.87,67.09
26/04/2018 16:00:00,128.01,34.91,,97.44,67.78
27/04/2018 16:00:00,128.27,35.05,,98.73,67.84
30/04/2018 16:00:00,126.49,34.68,,96.55,67.33
01/05/2018 16:00:00,126.01,33.54,,102.07,66.97
02/05/2018 16:00:00,123.5,33.05,,100.37,66.54
03/05/2018 16:00:00,123.03,32.93,,100.28,67
04/05/2018 16:00:00,124.19,33.01,,100.17,67.33
07/05/2018 16:00:00,123.59,33.09,,99.63,67.68
08/05/2018 16:00:00,122.61,33.14,,99.4,67.72
09/05/2018 16:00:00,123.51,33.32,,101.18,67.68
10/05/2018 16:00:00,125.35,33.19,,102.85,67.55
11/05/2018 16:00:00,127.24,33.63,,104.18,68.08
14/05/2018 16:00:00,126.06,33.97,,105.89,68.77
15/05/2018 16:00:00,125.13,33.81,,104.18,67.99
16/05/2018 16:00:00,125.35,33.8,,105.04,68.13
17/05/2018 16:00:00,123.85,33.83,,105.32,67.73
18/05/2018 16:00:00,124.24,33.76,,105.98,67.65
21/05/2018 16:00:00,123.72,33.91,,106.23,67.41
22/05/2018 16:00:00,122.91,33.84,,106.23,67.46
23/05/2018 16:00:00,123.45,34.08,,105.6,67.1
24/05/2018 16:00:00,122.25,34,,103.14,66.87
25/05/2018 16:00:00,121.47,33.8,,101.08,66.81
29/05/2018 16:00:00,119.4,33.82,,99.47,65.81
30/05/2018 16:00:00,120.97,34.15,,103.01,66.48
31/05/2018 16:00:00,119.62,34.04,,103.01,65.42
01/06/2018 16:00:00,121.26,34.34,,98.05,66.37
04/06/2018 16:00:00,121.95,34.53,,99.1,66.51
05/06/2018 16:00:00,121.48,34.52,,99.24,65.76
06/06/2018 16:00:00,122.79,34.46,,99.98,66.03
07/06/2018 16:00:00,123.33,34.57,,99.32,66.27
08/06/2018 16:00:00,124.06,34.74,,100.43,66.03
11/06/2018 16:00:00,122.66,34.39,,99.77,66.55
12/06/2018 16:00:00,122.54,34.39,,98.91,66.58
13/06/2018 16:00:00,122.63,34.31,,97.58,66.54
14/06/2018 16:00:00,122.41,34.26,,98.75,66.7
15/06/2018 16:00:00,122.61,34.45,,99.57,66.54
18/06/2018 16:00:00,121.32,34.26,,98.48,65.04
19/06/2018 16:00:00,122.57,34.31,,98.01,64.59
20/06/2018 16:00:00,122.04,34.54,,98.25,65.17
21/06/2018 16:00:00,121.45,34.39,,95.55,64.95
22/06/2018 16:00:00,122.84,34.59,,93.49,65.9
25/06/2018 16:00:00,122.59,34.46,,93.05,64.99
26/06/2018 16:00:00,122.35,34.46,,92.12,64.65
27/06/2018 16:00:00,121.61,34.3,,91.51,63.6
28/06/2018 16:00:00,122,34.45,,92.43,64.09
29/06/2018 16:00:00,121.34,34.37,,92.65,66.32
02/07/2018 16:00:00,121.58,34.42,,93.11,65.59
03/07/2018 13:00:00,122.71,34.44,,93.61,66.25
05/07/2018 16:00:00,125,34.93,,94.48,67.56
06/07/2018 16:00:00,125.75,35.16,,96.92,67.75
09/07/2018 16:00:00,126.05,35.2,,97.04,68.04
10/07/2018 16:00:00,127.38,35.46,,98.84,67.85
11/07/2018 16:00:00,126.24,35.25,,94.96,67.03
12/07/2018 16:00:00,127.76,35.54,18.6,95.61,69.3
13/07/2018 16:00:00,125.93,35.55,18.8,96.63,69.16
16/07/2018 16:00:00,124.69,35.41,18.01,96.25,68.99
17/07/2018 16:00:00,129.11,35.67,18.68,95.41,69.09
18/07/2018 16:00:00,127.8,35.68,18.76,94.4,71.08
19/07/2018 16:00:00,125.94,35.39,18.32,89.95,70.94
20/07/2018 16:00:00,125.85,35.36,17,88.91,72.23
23/07/2018 16:00:00,126.63,35.25,17,89.4,72.2
24/07/2018 16:00:00,129.36,35.71,16.18,91.54,72.44
25/07/2018 16:00:00,128.62,35.99,15.5,93.12,72.81
26/07/2018 16:00:00,130.28,36.15,14.47,93.94,73.09
27/07/2018 16:00:00,131.55,36.39,14.03,90.56,73.3
30/07/2018 16:00:00,132.17,36.56,13.52,91.45,73.55
31/07/2018 16:00:00,132.52,37.83,14.65,92.23,73.66
01/08/2018 16:00:00,132.64,38.15,14.15,93.91,73.47
02/08/2018 16:00:00,131.25,37.56,15.27,95.12,73.81
03/08/2018 16:00:00,131.95,38.4,15.33,96.53,73.16
06/08/2018 16:00:00,132.02,38.88,15.5,97.06,73.29
07/08/2018 16:00:00,131.46,38.69,16.96,94.06,73.38
08/08/2018 16:00:00,131.17,39.23,16.27,93.73,73.34
09/08/2018 16:00:00,131.2,38.84,16.95,95.47,73.13
10/08/2018 16:00:00,130.75,38.77,16.33,95.8,72.08
13/08/2018 16:00:00,130.22,38.66,16.48,96.78,72.37
14/08/2018 16:00:00,129.5,38.57,17,95.92,72.11
15/08/2018 16:00:00,130.43,38.99,16.74,97.45,71.84
16/08/2018 16:00:00,132.48,39.24,16.59,98.22,72.16
17/08/2018 16:00:00,134.47,39.87,16.26,98.81,72.9
20/08/2018 16:00:00,136.88,40.1,16.31,97.63,73.36
21/08/2018 16:00:00,135.35,39.94,16.69,97.74,73.58
22/08/2018 16:00:00,134.61,39.85,15.56,97.64,73.47
23/08/2018 16:00:00,135.11,39.98,14.79,97.15,73.4
24/08/2018 16:00:00,135.95,40.17,14.64,97.4,73.52
27/08/2018 16:00:00,134.92,39.39,14.91,98.02,73.81
28/08/2018 16:00:00,134.32,39.31,14.45,97.26,73.58
29/08/2018 16:00:00,134.86,39.31,14.63,97.58,73.45
30/08/2018 16:00:00,134.95,39.31,15.13,96.79,73.3
31/08/2018 16:00:00,134.69,39.33,16.6,95.98,72.88
04/09/2018 16:00:00,133.72,39.19,16.22,94.56,72.48
05/09/2018 16:00:00,135.86,39.65,16.27,95.19,72.08
06/09/2018 16:00:00,136.87,39.58,17.18,93.74,71.58
07/09/2018 16:00:00,137.32,39.98,18.14,94.17,71.8
10/09/2018 16:00:00,137.21,39.84,17.05,93.82,72.45
11/09/2018 16:00:00,138.51,40.08,17.99,93.18,73.72
12/09/2018 16:00:00,139.36,40.18,18.17,93.24,74.12
13/09/2018 16:00:00,139.89,40.59,18.69,96.33,74.89
14/09/2018 16:00:00,139.49,40.7,18.53,95.68,74.82
17/09/2018 16:00:00,139.96,40.74,19.66,95.37,74.74
18/09/2018 16:00:00,140.54,41.22,21.44,92.61,74.65
19/09/2018 16:00:00,140.46,40.98,20.83,91.02,74.53
20/09/2018 16:00:00,141.98,41.45,19.92,92.68,75.47
21/09/2018 16:00:00,142.88,41.74,19.34,92.26,75.03
24/09/2018 16:00:00,140.47,41.62,19.88,93.42,74.88
25/09/2018 16:00:00,138.64,41.48,21.65,93.78,75.41
26/09/2018 16:00:00,138.16,41.38,23.7,94.18,75.86
27/09/2018 16:00:00,138.22,41.59,22.1,94.14,75.6
28/09/2018 16:00:00,138.17,41.75,22.6,94.58,75.64
01/10/2018 16:00:00,139.69,41.94,22.27,95,75.79
02/10/2018 16:00:00,140.48,41.89,21.12,94.23,75.8
03/10/2018 16:00:00,139.03,42.45,21.37,96.01,76.77
04/10/2018 16:00:00,139.35,42.35,20.65,93.84,75.37
05/10/2018 16:00:00,139.1,42.54,20.59,94.38,75.07
08/10/2018 16:00:00,139.39,42.9,20.93,94.81,74.85
09/10/2018 16:00:00,139.2,43.08,20.43,94.57,74.69
10/10/2018 16:00:00,137.73,42.17,19.26,93.08,74.09
11/10/2018 16:00:00,133.84,40.56,19.97,90.7,72.16
12/10/2018 16:00:00,133.87,41.47,20.82,90.69,72.67
15/10/2018 16:00:00,133.95,40.85,21.82,89.18,73
16/10/2018 16:00:00,136.56,41.62,22.18,91.91,75.25
17/10/2018 16:00:00,139.46,42.22,20.35,92.27,74.87
18/10/2018 16:00:00,139.5,41.68,20,89.9,75.71
19/10/2018 16:00:00,139.05,42.16,19.34,87.97,76.54
22/10/2018 16:00:00,138.68,42.03,19,84.27,76.47
23/10/2018 16:00:00,138.93,41.78,19.4,82.96,77.26
24/10/2018 16:00:00,137.47,40.24,19.9,79.41,73.96
25/10/2018 16:00:00,138.47,41.12,19.27,81.73,75.27
26/10/2018 16:00:00,136.97,40.36,19.66,80.79,74.88
29/10/2018 16:00:00,137.55,40.95,20.35,81.36,75.58
30/10/2018 16:00:00,140.75,40.63,20.59,81.59,76.05
31/10/2018 16:00:00,139.99,40.79,19.7,77.85,76.78
01/11/2018 16:00:00,140.82,41.37,21.33,80.21,77.43
02/11/2018 16:00:00,140.68,40.67,23.08,79.56,76.55
05/11/2018 16:00:00,142.2,41.23,25.96,82.58,78.34
06/11/2018 16:00:00,142.57,40.74,27.23,83.66,77.19
07/11/2018 16:00:00,144.75,42.06,26.82,86.96,78.05
08/11/2018 16:00:00,145.3,41.54,26.8,87.73,78.34
09/11/2018 16:00:00,145.34,41.95,25.73,88.79,78.33
12/11/2018 16:00:00,145.62,41.79,24.61,89.69,77.46
13/11/2018 16:00:00,144.68,41.23,25.84,88.22,77.53
14/11/2018 16:00:00,144.25,40.65,23.78,88.31,76.67
15/11/2018 16:00:00,144.5,40.93,23.5,90.14,76.59
16/11/2018 16:00:00,145.99,41.22,22.51,91.53,77.04
19/11/2018 16:00:00,147.73,41.85,23.63,89.48,77.53
20/11/2018 16:00:00,146.45,41.24,24.7,88.09,76.33
21/11/2018 16:00:00,141.99,40.83,25.76,86.15,78.16
23/11/2018 13:00:00,142.23,40.87,25.74,85.63,77.28
26/11/2018 16:00:00,141.37,41.06,26.26,86.24,78.13
27/11/2018 16:00:00,143.22,41.75,25.14,87.68,78.04
28/11/2018 16:00:00,146.44,42.54,26.03,88.94,78.83
29/11/2018 16:00:00,145.85,43.11,26.4,89.91,79.93
30/11/2018 16:00:00,146.9,43.8,28.34,94.27,80.36
03/12/2018 16:00:00,146.21,43.57,27.2,93.66,80.34
04/12/2018 16:00:00,146.03,42.76,27.1,90.55,79.69
06/12/2018 16:00:00,145.91,42.61,24.55,90.33,78.18
07/12/2018 16:00:00,145.43,41.61,23.54,86.96,76.45
10/12/2018 16:00:00,145.26,42.06,23.26,87.61,76.29
11/12/2018 16:00:00,146.5,41.69,24.92,88.17,76.57
12/12/2018 16:00:00,147.1,41.83,24.43,88.6,77.37
13/12/2018 16:00:00,147.84,42.22,23.59,87.71,77.61
14/12/2018 16:00:00,133,41.49,23.12,85.61,76.72
17/12/2018 16:00:00,129.14,40.84,23.46,84.93,75.29
18/12/2018 16:00:00,130.42,40.17,23.08,83.58,74.96
19/12/2018 16:00:00,127.61,39.76,22.6,83.52,74.14
